course_id,learner_id,viewed,explored,certified,grade,nevents,ndays_act,learner_rating
4,192,5,0,0,0.0,0.018898081985709,0.121951219512195,0.528169860299581
12,193,0,0,0,0.0,0.00028206092516,0.048780487804878,0.009812509746008
8,194,0,0,0,0.0,0.000188040616773,0.024390243902439,0.004915656903842
10,194,0,0,0,0.0,9.40203083866115e-05,0.024390243902439,0.004896852842165
4,195,5,0,0,0.0,0.030086498683716,0.292682926829268,0.564553885102597
10,196,5,0,0,0.0,0.010718315156074,0.048780487804878,0.51189976059219
11,197,5,0,0,0.0,0.00084618277548,0.097560975609756,0.519681431677047
12,197,5,0,0,0.0,0.01165851823994,0.121951219512195,0.526721947550427
6,198,5,0,0,0.0,0.015325310267018,0.048780487804878,0.512821159614379
9,199,5,0,0,0.0,9.40203083866115e-05,0.024390243902439,0.504896852842165
12,200,5,0,0,0.0,0.00084618277548,0.073170731707317,0.514803382896559
10,201,5,0,0,0.0,0.000376081233546,0.024390243902439,0.504953265027197
4,202,5,0,0,0.0,9.40203083866115e-05,0.024390243902439,0.504896852842165
3,203,5,0,0,0.0,0.008085746521249,0.048780487804878,0.511373246865225
10,204,5,0,0,0.0,0.010248213614141,0.292682926829268,0.560586228088682
8,205,0,0,0,0.0,0.0,0.0,0.0
4,206,5,0,0,0.0,0.01748777735991,0.073170731707317,0.518131701813445
9,207,0,0,0,0.0,0.000188040616773,0.024390243902439,0.004915656903842
4,207,5,0,0,0.0,0.003196690485145,0.024390243902439,0.505517386877517
11,208,5,0,0,0.0,0.003196690485145,0.024390243902439,0.505517386877517
4,209,5,0,0,0.0,0.000470101541933,0.048780487804878,0.509850117869362
0,210,5,0,0,0.0,0.006957502820609,0.048780487804878,0.511147598125097
3,210,5,0,0,0.0,0.015419330575404,0.024390243902439,0.507961914895569
6,210,5,0,0,0.0,0.106148928168484,0.292682926829268,0.579766370999551
9,211,5,0,0,0.0,9.40203083866115e-05,0.024390243902439,0.504896852842165
3,211,5,0,0,0.0,0.002350507709665,0.048780487804878,0.510226199102909
3,212,5,0,0,0.0,0.002820609251598,0.024390243902439,0.505442170630807
12,213,5,0,0,0.0,0.001410304625799,0.024390243902439,0.505160109705648
9,214,0,0,0,0.0,0.000188040616773,0.024390243902439,0.004915656903842
2,215,5,0,0,0.0,0.00056412185032,0.024390243902439,0.504990873150552
9,216,5,0,0,0.0,9.40203083866115e-05,0.024390243902439,0.504896852842165
8,217,5,0,0,0.0,0.004042873260624,0.073170731707317,0.515442720993588
10,217,5,0,0,0.0,0.05077096652877,0.439024390243902,0.597959071354534
4,218,5,5,0,0.01,0.094208349003385,0.195121951219512,1.55786606004458
11,219,5,0,0,0.0,0.004606995110944,0.048780487804878,0.510677496583164
4,220,5,0,0,0.0,0.004230913877398,0.024390243902439,0.505724231555967
9,221,5,0,0,0.0,0.000658142158706,0.024390243902439,0.505009677212229
2,222,0,0,0,0.0,9.40203083866115e-05,0.024390243902439,0.004896852842165
8,223,0,0,0,0.0,0.000470101541933,0.048780487804878,0.009850117869362
11,223,0,0,0,0.0,0.000376081233546,0.024390243902439,0.004953265027197
5,223,5,0,0,0.0,0.000940203083866,0.073170731707317,0.514822186958237
10,224,0,0,0,0.0,0.000188040616773,0.024390243902439,0.004915656903842
9,225,0,0,0,0.0,0.00028206092516,0.024390243902439,0.00493446096552
11,226,0,0,0,0.0,0.000188040616773,0.024390243902439,0.004915656903842
9,227,5,0,0,0.0,0.001128243700639,0.048780487804878,0.509981746301103
11,228,5,5,5,0.99,0.29550582925912,0.463414634146341,3.15178409268109
4,229,5,0,0,0.0,0.005077096652877,0.024390243902439,0.505893468111063
4,230,5,0,0,0.0,9.40203083866115e-05,0.024390243902439,0.504896852842165
8,231,0,0,0,0.0,0.0,0.0,0.0
0,232,0,0,0,0.0,0.000188040616773,0.024390243902439,0.004915656903842
2,233,0,0,0,0.0,0.000188040616773,0.024390243902439,0.004915656903842
9,234,5,0,0,0.0,0.017017675817977,0.268292682926829,0.557062071748961
12,235,0,0,0,0.0,0.000188040616773,0.024390243902439,0.004915656903842
3,236,5,0,0,0.0,0.001034223392253,0.048780487804878,0.509962942239426
4,237,5,0,0,0.0,0.021342610003761,0.073170731707317,0.518902668342215
6,238,5,0,0,0.0,0.011752538548327,0.048780487804878,0.512106605270641
8,239,0,0,0,0.0,0.0,0.0,0.0
9,240,5,0,0,0.0,9.40203083866115e-05,0.024390243902439,0.504896852842165
3,240,5,5,0,0.15,0.270214366303121,0.878048780487805,1.72965262935819
0,241,5,0,0,0.02,0.046446032342986,0.146341463414634,0.538557499151524
1,242,5,0,0,0.06,0.114234674689733,0.268292682926829,0.576505471523312
4,243,5,0,0,0.0,0.000940203083866,0.073170731707317,0.514822186958237
11,244,5,0,0,0.0,0.00639338097029,0.048780487804878,0.511034773755034
0,245,0,0,0,0.0,0.000188040616773,0.048780487804878,0.00979370568433
11,246,5,0,0,0.02,0.029052275291463,0.195121951219512,0.544834845302195
9,247,5,0,0,0.0,0.004136893569011,0.024390243902439,0.50570542749429
0,248,5,0,0,0.0,0.001880406167732,0.048780487804878,0.510132178794522
8,249,5,5,0,0.02,0.211639714178262,1.02439024390244,1.74720599161614
8,250,5,0,0,0.0,0.002256487401279,0.048780487804878,0.510207395041231
11,251,5,0,0,0.01,0.007239563745769,0.024390243902439,0.506325961529642
9,252,0,0,0,0.0,9.40203083866115e-05,0.024390243902439,0.004896852842165
9,253,5,0,0,0.0,0.001692365550959,0.024390243902439,0.50521652189068
9,254,5,5,0,0.0,0.008273787138022,0.073170731707317,1.51628890376907
4,255,5,0,0,0.0,0.001880406167732,0.170731707317073,0.534522422696961
11,256,5,0,0,0.0,0.130876269274163,0.365853658536585,0.59934598556215
11,257,0,0,0,0.0,0.00028206092516,0.048780487804878,0.009812509746008
9,258,5,0,0,0.0,0.000658142158706,0.024390243902439,0.505009677212229
9,259,5,0,0,0.0,0.003196690485145,0.170731707317073,0.534785679560444
11,260,5,0,0,0.0,0.002350507709665,0.097560975609756,0.519982296663884
3,261,5,0,0,0.0,0.002068446784505,0.024390243902439,0.505291738137389
3,262,5,0,0,0.0,9.40203083866115e-05,0.024390243902439,0.504896852842165
11,263,5,0,0,0.0,0.010718315156074,0.073170731707317,0.516777809372678
4,264,5,0,0,0.09,0.157766077472734,0.487804878048781,0.629114191104303
3,265,5,0,0,0.0,0.027359909740504,0.048780487804878,0.515228079509076
4,266,5,0,0,0.03,0.178168484392629,0.292682926829268,0.59417028224438
0,267,5,0,5,0.51,0.206280556600226,0.268292682926829,2.09491464790541
10,268,5,0,0,0.0,0.00084618277548,0.024390243902439,0.505047285335584
10,269,0,0,0,0.0,9.40203083866115e-05,0.024390243902439,0.004896852842165
2,270,5,0,0,0.0,0.000658142158706,0.048780487804878,0.509887725992717
3,270,5,0,0,0.0,0.001880406167732,0.024390243902439,0.505254130014034
4,270,5,0,0,0.0,9.40203083866115e-05,0.024390243902439,0.504896852842165
8,271,0,0,0,0.0,0.000752162467093,0.048780487804878,0.009906530054394
12,271,5,0,0,0.0,0.000658142158706,0.024390243902439,0.505009677212229
7,271,0,0,0,0.0,9.40203083866115e-05,0.024390243902439,0.004896852842165
12,272,5,0,0,0.32,0.097028958254983,0.048780487804878,0.529161889211972
10,273,5,0,0,0.0,0.001598345242572,0.024390243902439,0.505197717829002
1,274,5,5,5,0.68,0.290146671681083,0.609756097560976,3.17998055384841
4,275,5,0,0,0.22,0.030180518992102,0.048780487804878,0.515792201359396
12,276,5,0,0,0.0,0.013820985332832,0.121951219512195,0.527154440969005
4,277,5,0,0,0.0,0.004230913877398,0.170731707317073,0.534992524238894
4,278,5,0,0,0.0,0.000188040616773,0.024390243902439,0.504915656903842
4,279,5,0,0,0.0,0.0,0.024390243902439,0.504878048780488
7,280,5,5,5,0.85,1.12185031966905,1.63414634146341,3.55119933222649
9,281,5,0,0,0.0,0.00028206092516,0.024390243902439,0.50493446096552
3,281,5,0,0,0.0,0.03939450921399,0.073170731707317,0.522513048184262
4,281,5,0,0,0.0,0.015043249341858,0.073170731707317,0.517642796209835
8,282,5,0,0,0.0,0.001598345242572,0.073170731707317,0.514953815389978
4,283,5,0,0,0.0,0.000658142158706,0.024390243902439,0.505009677212229
9,284,0,0,0,0.0,9.40203083866115e-05,0.024390243902439,0.004896852842165
4,284,5,0,0,0.0,0.012598721323806,0.024390243902439,0.507397793045249
7,285,5,0,0,0.0,0.027171869123731,0.097560975609756,0.524946568946697
0,286,5,0,0,0.0,0.000376081233546,0.048780487804878,0.509831313807685
4,287,5,0,0,0.01,0.080575404287326,0.219512195121951,0.560017519881855
12,288,5,0,0,0.0,0.002256487401279,0.024390243902439,0.505329346260744
8,289,5,0,0,0.0,0.002726588943212,0.048780487804878,0.510301415349618
4,290,0,0,0,0.0,0.000188040616773,0.024390243902439,0.004915656903842
